,0,1,2,3,4,5,6,7,8,9,10
0,0.9145599999999997,0.8929200000000002,0.8649200000000004,0.83048,0.7711200000000002,0.7120799999999999,0.6405600000000001,0.58332,0.5129600000000001,0.43344,0.4149199999999997
1,0.7800400000000001,0.7207599999999998,0.6466,0.58584,0.53912,0.49224,0.42743999999999993,0.3803599999999999,0.35408000000000006,0.32115999999999995,0.2840800000000001
2,0.66352,0.59344,0.5262399999999999,0.49668,0.43939999999999996,0.3780800000000001,0.34676,0.30243999999999993,0.2862,0.2576,0.24355999999999997
3,0.5792,0.4988000000000001,0.4560800000000002,0.3898,0.35147999999999996,0.33424,0.29948,0.26392000000000004,0.25128000000000006,0.23439999999999997,0.21236000000000005
4,0.5093061224489797,0.43116,0.38284,0.3495199999999999,0.31284,0.2822799999999999,0.25804000000000005,0.23352000000000006,0.22419999999999998,0.20252000000000003,0.19344
5,0.44376000000000004,0.38295999999999997,0.3499599999999999,0.312,0.2829199999999999,0.26287999999999995,0.23983999999999994,0.21208000000000002,0.19992000000000004,0.18036000000000008,0.17548000000000005
6,0.3954400000000001,0.33751999999999993,0.31264,0.27799999999999997,0.26039999999999996,0.22608000000000011,0.21628000000000003,0.20412,0.18496,0.16904000000000008,0.15720000000000003
7,0.3623999999999999,0.32071999999999995,0.28832,0.25828,0.23096,0.21872,0.18700000000000003,0.17840000000000003,0.17900000000000002,0.15804,0.15212
8,0.34576000000000007,0.28888,0.26928,0.23820000000000013,0.22384000000000007,0.20184000000000013,0.18228000000000003,0.18032,0.15775999999999998,0.14744000000000002,0.1526000000000001
9,0.31200000000000006,0.27640000000000003,0.25188000000000005,0.21907999999999997,0.20528000000000005,0.19148000000000004,0.17524000000000003,0.15808000000000003,0.16363999999999998,0.13920000000000005,0.13512000000000002
10,0.30432,0.24708000000000013,0.2212799999999999,0.21476000000000006,0.1832,0.16544,0.16156000000000004,0.15156,0.14176,0.13968000000000003,0.12571999999999997
